TRTID10,decade,R_VAC,HU_ln,P_NONWHT,a_hinc
39035114501,2010,239,7.783640596,0.451260105,3.0486
39035114600,1970,50,6.884486652,0.041612058,4.717549718
39035114600,1980,8,6.785587645,0.022544826,7.847694458
39035114600,1990,208,7.60638739,0.033865048,2.992787719
39035114600,2000,203,7.636752112,0.045365914,3.209453061
39035114600,2010,266,7.681099002,0.355410638,4.5724
39035114700,1970,60,6.870053412,0.946210114,2.001881585
39035114700,1980,49,7.087573706,0.034763979,13.04934562
39035114700,1990,278,7.270312886,0.008058865,2.712332947
39035114700,2000,200,7.250635512,0.025537634,3.254061591
39035114700,2010,214,7.416378479,0.667386609,2.9862
39035114900,1970,86,7.393263095,0.00343328,4.619681228
39035114900,1980,48,7.043159916,0.040181768,9.337460673
39035114900,1990,138,7.094234846,0.007712082,3.200607673
39035114900,2000,120,7.21303166,0.016839378,3.721783879
39035114900,2010,318,7.750184162,0.733015057,2.0614
39035115100,1970,39,6.821107472,0.004397537,4.726711481
39035115100,1980,42,6.914730893,0.040181717,9.337461123
39035115100,1990,93,6.777646594,0.013340174,3.076182465
39035115100,2000,147,6.949856455,0.023629068,3.295277088
39035115100,2010,444,7.512617545,0.68404908,3.2793
39035115200,1970,52,6.769641977,0.000455166,3.949374677
39035115200,1980,27,7.507690078,0.036143663,7.704887974
39035115200,1990,488,7.476472381,0.014577471,2.740465586
39035115200,2000,568,7.736307097,0.029101856,3.252098948
39035115200,2010,103,6.924612396,0.79068842,2.0714
39035115300,1970,55,6.902742737,0.007237214,4.804920473
39035115300,1980,47,7.0800265,0.051517815,8.514359991
39035115300,1990,1336,7.620214771,0.013075965,2.793911875
39035115300,2000,1214,7.670428522,0.031984008,2.624053285
39035115300,2010,379,8.079927771,0.436473525,2.4889
39035115400,1970,56,7.382124366,0.004166667,4.569990698
39035115400,1980,11,7.365180126,0.043587565,9.513634238
39035115400,1990,1000,7.456454555,0.018477044,3.377647988
39035115400,2000,1887,7.994969523,0.038776389,3.771217942
39035115400,2010,300,8.098034756,0.361332574,3.5026
39035115700,1970,24,6.64898455,0,4.843832436
39035115700,1980,7,7.051855623,0.048651997,5.743548828
39035115700,1990,1461,7.886457271,0.013383665,2.708915706
39035115700,2000,1335,7.969357742,0.027110986,2.928876229
39035115700,2010,103,7.235619141,0.748568156,2.9949
39035115800,1970,51,7.660114319,0.002293227,4.764612587
39035115800,1980,6,7.213768308,0.029374419,10.47569534
39035115800,1990,235,7.380879036,0.014004848,3.548518436
39035115800,2000,326,7.583756301,0.020356234,4.16681311
39035115800,2010,331,8.01466637,0.301388511,2.0846
39035115900,1970,39,7.46565531,0.041251389,5.041403579
39035115900,1980,8,7.574558484,0.030520398,7.866146942
39035115900,1990,153,7.437795122,0.016184404,3.061957595
39035115900,2000,242,7.601402335,0.035791289,3.530303551
39035115900,2010,183,7.647308832,0.334745763,2.443
39035116100,1970,67,6.809039306,0.989501312,2.502717238
39035116100,1980,3,6.948897222,0.025515457,8.627825839
39035116100,1990,208,7.121252453,0.007779349,3.328632012
39035116100,2000,378,7.349230825,0.01988266,3.306439618
39035116100,2010,76,7.339537695,0.30787037,5.4875
39035116200,1970,45,7.042286172,0.989639714,4.170922242
39035116200,1980,23,7.711996507,0.060829341,6.47720475
39035116200,1990,63,6.687108608,0.116753299,2.696394099
39035116200,2000,56,6.784457063,0.159928656,2.404727964
39035116200,2010,313,7.986504939,0.468115426,2.3315
39035116300,1970,79,7.129297549,0.974659686,4.632349435
39035116300,1980,12,7.599901959,0.038253828,6.608661935
39035116300,1990,121,7.392031568,0.166187506,1.880325884
39035116300,2000,96,7.13089883,0.119127517,2.540272975
39035116300,2010,442,8.143517406,0.476214834,3.999
39035116400,1970,107,7.6989362,0.983225629,3.919989253
39035116400,1980,17,7.588829878,0.039968895,6.657739231
39035116400,1990,80,6.746412129,0.217949544,1.297272468
39035116400,2000,127,7.135687347,0.300490597,1.226651685
39035116400,2010,393,8.051340933,0.679022294,3.0105
39035116500,1970,182,7.895436007,0.968332398,3.302033316
39035116500,1980,7,7.592366129,0.034426499,6.394824938
39035116500,1990,42,7.6666902,0.039746841,7.652316792
39035116500,2000,64,7.667158255,0.059150866,7.511156265
39035116500,2010,109,7.005789019,0.733903982,3.0521
39035116600,1970,157,7.875499292,0.988193202,3.918434696
39035116600,1980,42,7.556950572,0.056964242,5.445194798
39035116600,1990,137,7.504942068,0.203625035,3.775945839
39035116600,2000,110,7.528331767,0.296546141,3.572868364
